match_url,match_date
/stats/matches/mapstatsid/135158/mouz-vs-fnatic?rankingFilter=Top30,2022-03-12
/stats/matches/mapstatsid/135152/fnatic-vs-mouz?rankingFilter=Top30,2022-03-12
/stats/matches/mapstatsid/135068/nip-vs-mouz?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135064/mouz-vs-nip?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135061/nip-vs-mouz?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135039/wisla-krakow-vs-apeks?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135034/apeks-vs-wisla-krakow?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135448/faze-vs-ence?rankingFilter=Top30,2022-03-16
/stats/matches/mapstatsid/135443/sprout-vs-vitality?rankingFilter=Top30,2022-03-16
/stats/matches/mapstatsid/135439/vitality-vs-sprout?rankingFilter=Top30,2022-03-16
/stats/matches/mapstatsid/135409/skade-vs-dignitas?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135402/dignitas-vs-skade?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135395/skade-vs-dignitas?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135383/apeks-vs-heroic?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135381/heroic-vs-apeks?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135365/heet-vs-k23?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135362/k23-vs-heet?rankingFilter=Top30,2022-03-15
/stats/matches/mapstatsid/135342/eternal-fire-vs-apeks?rankingFilter=Top30,2022-03-14
/stats/matches/mapstatsid/135333/eternal-fire-vs-apeks?rankingFilter=Top30,2022-03-14
/stats/matches/mapstatsid/135324/apeks-vs-eternal-fire?rankingFilter=Top30,2022-03-14
/stats/matches/mapstatsid/135298/endpoint-vs-gamerlegion?rankingFilter=Top30,2022-03-14
